gene_name,GSM3099391,GSM3099301,GSM3099302,GSM3099259,GSM3099299,GSM3099292,GSM3099343,GSM3099311,GSM3099274,GSM3099318,GSM3099302,GSM3099343
HLA-B,86.78,860.45,935.28,739.62,7544.01,879.95,2236.0,3526.89,3767.76,4280.96,935.28,2236.0
RPL7A,3130.87,1645.11,2875.24,1674.19,1889.54,4626.85,2570.83,1706.27,3650.75,1619.63,2875.24,2570.83
RPL24,7295.02,6687.14,3676.32,1690.32,1604.15,4403.5,2972.26,3494.35,3038.83,984.26,3676.32,2972.26
RPS7,7166.37,11169.71,4150.78,1006.49,1378.51,3583.86,2214.27,2422.86,4030.47,1113.24,4150.78,2214.27
RPL12,1367.38,1548.27,2193.98,1454.12,1572.19,4612.49,3666.45,1914.78,5046.71,1584.63,2193.98,3666.45
ENSG00000198786,2133.67,205.77,519.46,6114.0,1845.1,288.51,1755.65,1343.57,387.48,2299.13,519.46,1755.65
RPL36,2740.09,3775.93,2674.65,55.88,2269.87,4813.6,3972.73,2411.97,3515.55,903.01,2674.65,3972.73
RPS13,8068.26,3952.88,3189.53,1211.26,1753.68,4266.66,2375.61,3556.24,1874.18,1479.43,3189.53,2375.61
RPS28,1456.23,987.65,1629.12,16.62,2248.05,3643.46,2971.15,1182.76,4034.68,2202.61,1629.12,2971.15
MYL6,2826.97,2199.38,3316.65,1790.31,1756.26,2599.71,1689.4,2613.09,2225.78,1920.86,3316.65,1689.4
ACTG1,579.34,891.57,1161.71,1300.74,2427.02,1700.98,3695.89,964.02,5500.01,3403.63,1161.71,3695.89
IFI27,220.31,769.35,7152.02,411.83,5627.88,191.53,1805.75,3210.93,1314.17,3467.57,7152.02,1805.75
RPS16,5550.69,6443.97,3683.4,376.41,1381.49,2985.14,1730.23,2984.97,3009.78,840.59,3683.4,1730.23
MGP,825.14,18.5,3865.75,6556.32,699.42,14118.32,43.25,7256.3,4910.28,431.38,3865.75,43.25
PTMA,793.15,605.85,1595.3,1260.63,1699.43,1621.66,3672.33,2301.17,4078.84,2945.65,1595.3,3672.33
RPL18A,2821.78,6467.8,1678.79,96.51,1121.87,2712.68,2145.9,1667.59,3706.68,1396.96,1678.79,2145.9
RPLP2,1256.67,518.28,2260.06,80.79,1218.46,2235.08,2749.25,1188.97,1924.72,855.13,2260.06,2749.25
RPL5,3639.4,3657.87,1925.28,1716.25,1207.66,3830.9,1648.17,2538.4,3537.31,1165.48,1925.28,1648.17
RPS9,2581.22,1144.49,2494.97,233.65,1436.31,4384.86,1300.87,2628.74,3005.35,875.16,2494.97,1300.87
RPL10A,4065.38,2302.99,3149.99,1113.74,1341.01,4362.36,2633.08,1816.4,2288.66,915.42,3149.99,2633.08
ATP5E,3023.83,1390.6,2267.23,1583.48,1641.1,1741.78,1518.21,1809.94,1057.33,1135.76,2267.23,1518.21
RPS27A,5159.14,5330.21,2168.92,1649.5,936.83,2854.63,1724.09,2939.28,2789.9,1087.88,2168.92,1724.09
RPL29,2935.62,1458.17,2049.12,512.05,1391.01,3867.39,1847.33,1484.09,1968.76,716.55,2049.12,1847.33
RPS20,3641.41,3231.74,4034.18,803.17,992.38,2361.39,1207.77,3235.18,1524.84,756.5,4034.18,1207.77
HLA-A,71.24,1215.27,438.77,1002.69,5341.63,571.83,1869.16,1633.37,2304.06,2813.51,438.77,1869.16
EEF1G,623.32,428.01,2323.38,1190.23,1137.27,2972.02,2431.82,1609.24,2613.69,1140.71,2323.38,2431.82
RPL6,1266.62,574.42,3122.05,1926.28,1315.46,2853.62,1408.03,1054.94,1620.34,773.34,3122.05,1408.03
CD74,46.99,62.71,397.09,516.76,1764.74,505.13,1433.7,1708.54,1233.9,1800.86,397.09,1433.7
HLA-DRA,751.7,2163.15,708.73,796.22,948.74,703.01,1572.24,3591.29,996.69,2105.33,708.73,1572.24
RPL4,460.24,312.87,1430.76,1030.41,1325.87,2384.58,2460.02,1117.42,1663.73,855.18,1430.76,2460.02
RPSA,4090.42,2284.33,1611.32,765.36,1148.78,2355.74,1374.28,1413.47,1851.05,981.79,1611.32,1374.28
RPL23A,2059.6,530.26,1405.66,868.72,1260.75,2325.07,1527.54,991.79,1746.81,599.78,1405.66,1527.54
COX6C,8136.74,393.21,630.51,5253.2,5621.11,446.46,366.25,494.26,277.51,418.14,630.51,366.25
LGALS1,542.17,466.56,560.38,88.73,650.92,677.1,2197.53,2509.25,3711.55,970.67,560.38,2197.53
XBP1,1828.89,27.18,1232.59,1807.63,2314.71,4084.8,229.12,162.05,141.43,516.21,1232.59,229.12
S100A11,186.84,291.72,996.13,597.51,637.96,1319.44,1382.05,3546.7,1398.79,1777.41,996.13,1382.05
