gene_name_reference,GSM2734272,GSM2734271,GSM2734273,GSM2734267,GSM2734268,GSM2734269,GSM2734274,GSM2734270
RPS2,1412.750948545137,793.7652568507416,231.3585010895949,913.152329232003,1102.3259617449196,415.7935143608266,105.87090765576288,1068.1837126963446
RPL10,620.7288190320444,462.04614103003576,202.22546110430935,413.6063521376079,426.98664215333633,250.1650715945755,59.17774747501755,451.08794094482295
CR392039.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MYH9,167.79947365000294,152.87332809832628,213.177169470702,112.96238155556938,157.17938892862242,147.8654757033147,152.63850862248032,309.87014850369786
RPS24,613.2988993286754,438.116369131994,151.7901767744133,441.4556499704756,379.8539901861985,204.06731968707763,59.27711185664749,503.8744383798104
DNTT,1446.0585518425569,1106.262741426933,0.2130208733207639,1340.9449661991184,707.5580683526232,958.6074491355646,0.1041575950724167,846.6948350744991
RPS27,2782.383022945804,2412.1305835935395,1109.0686322561935,1714.6671968644264,2304.61060164615,1199.1533284801255,173.4666572683213,2037.721381340847
RPS19,729.5886440979396,491.340850568621,134.99421062309898,535.6625448175193,591.963383157502,314.8537838558603,47.03631073644495,561.0774307604763
RPL7,875.1703635933104,577.3653033526899,189.01401527197956,1002.2569311992064,874.2077862441781,345.24548857877073,78.73453084380752,728.5763326218519
TUBB,911.6024799521856,802.2551602749307,105.26617660246193,288.41870417554753,554.5916631052233,147.354470134792,83.95517676910609,514.6323077786949
RPL11,1263.4232920132963,788.2413285556594,319.816481356603,1004.768045868512,1342.5010973309104,524.5004999214377,114.5389673716224,1106.8449015294643
HNRNPA1,379.4160050227089,401.3006049626773,172.48068256173622,248.05064456812977,398.4674998789919,160.53448324874665,98.58507170596626,492.3022156700061
RPS14,569.6624374537566,391.5999205336277,145.70427715540893,410.3396945079125,470.3747784982874,195.1579512015535,52.994119078116746,478.1212645589062
TMSB4X,847.3896296911993,1268.7202626626668,1032.1038309206576,748.4372627422263,645.8275469880515,762.9810694868601,196.9285963262188,1256.4792132776292
RPL37,339.6145002113745,231.11173327639207,83.97859556433764,224.67588516935533,191.74734866556548,109.98753040836074,30.632987610224696,250.24070418629543
LAPTM5,584.3204903112132,505.01435930089485,479.13083384876666,581.1658916924835,910.945210459704,315.23091668995187,58.76664409580622,217.5450239800169
SCARNA10,3938.653775559498,4798.252266736071,7195.595500560202,2610.11257062588,4038.990694179882,4173.959995538671,2333.433133535072,1171.7219930287056
RPL9,705.2022123693157,481.9178716485973,195.76132386696665,628.058389946854,576.4759551037021,348.58708155734246,52.13261815299324,754.7378082461169
MACF1,25.338570745201483,22.593372507619872,39.373173120798974,34.10189695518737,32.880092183143866,43.18645214559383,33.89915888087394,61.55242114771879
DDX5,155.09941584825637,157.2497461769743,388.6264449512274,181.0092639046332,122.61101669989476,165.3875847316915,117.09852518625074,174.40211729525146
RPSA,618.8211106783633,441.2933376469397,144.36349536944022,476.1663065903611,459.5865839940535,235.888840846901,49.1039550037742,549.4346372693573
RPL31,413.83151686668833,278.03472408528387,103.93182101199903,319.9177050130752,321.96090355078894,173.87227195326773,34.02419087165085,377.7502940130796
RPL32,686.9384051615685,460.1777824901597,148.4885284710472,504.8107914207388,478.2038497689621,227.87972250186456,63.10471895522908,541.2386127433334
RPL37A,383.4204749621532,256.92152831349887,81.94951372347008,357.4353523921911,316.2979260850605,159.81811702642693,36.975631575194114,407.69661547291344
HLA-A,480.6735018975377,517.3980795510736,512.3704861965488,768.8140875473358,791.1261983299374,543.8543131881419,53.300708334194425,628.2119190033237
TOP2B,503.312402757591,351.2701657529204,120.27066847409552,179.60083116247085,119.74166268081603,100.596503668763,80.09822083669167,176.4500251247071
XBP1,520.6587291369649,655.1329973807959,51.33043263202186,763.1309796707897,753.7764684195344,412.85155086810994,50.88889676713799,524.7873116227443
RPL10A,1519.1550058050204,1010.280156961767,414.3608419023844,1092.0923016876911,1273.857972285263,591.5475895461609,152.19110868967658,1243.2746013648334
RPL15,348.6857809133776,234.66922340405165,104.28407267185592,255.8379630380335,262.0503626859584,139.84355994620532,34.06604343837228,295.66808038183103
NPM1,583.4961325335228,389.5532189698866,115.43935755742856,445.394448266045,744.2454766371463,188.70391637495564,59.68687315621581,292.11886750226705
RPS20,745.1459579001524,523.861156942181,155.18327148225697,723.9088972443919,700.3708767756542,293.07313077355315,50.12997375123008,639.3383574931851
RPL27A,217.06567628749835,185.56823324302735,90.99117650247044,234.58957908029413,382.8297544305661,129.8938638176537,35.56325185092065,292.9064925936146
AHNAK,1.9569673663934044,0.490609766189071,34.71201562730665,75.43676467603339,49.68566791859853,117.01454999094176,81.51219372200235,129.1635082577951
RPL30,461.52119327855627,369.5426032790218,158.2353113438956,521.2303545317128,596.1320614453361,189.3087997823394,45.044810375757926,386.7771569615799
UBC,304.2505436325223,353.57400736395255,606.5320337149667,573.0899228521022,407.084404743177,225.8590551535727,62.250863542408354,273.63341198564405
H1-2,2854.8375196073475,3519.963444383039,395.512634960512,1616.7301903528962,1490.421756417387,950.3372365429937,136.4874295822714,2083.57507671036
H1-5,2852.883069483999,3500.7434315677456,105.24849022096276,1414.9928344581267,1870.242822362338,423.3262437689714,70.95268114355848,1730.878516048319
RPS27A,662.2029390916545,448.590689013694,185.20973923967864,553.9706784863697,490.0604255944932,303.91917141725605,45.42216217266012,624.9935531693069
